,doc_url,name,bulletin,topic,commission
457_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/494-1-Iniciativa-Convencional-Constituyente-de-la-cc-Elsa-Labrana-sobre-Chilenos-Residentes-en-el-exterior-940-01-02.pdf,"Iniciativa Convencional Constituyente Garín, que crea un distrito electoral exterior y regula la situación electoral de chilenos residentes en el extranjero",Boletín 494-1,Distrito electoral exterior,Comisiones sobre Sistema Político y de Derechos Fundamentales
459_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/490-6-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-que-Crea-el-Ministerio-Discapacidad-0932-01-02.pdf,"Iniciativa Convencional Constituyente sobre creación, mediante norma transitoria, de un Ministerio de la Discapacidad y de un Consejo Interministerial de la Discapacidad",Boletín 490-6,Ministerio de la Discapacidad,Comisión sobre Sistemas de Justicia
464_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/485-2-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Baradit-sobre-Nacionalidad-2113-31-01.pdf,Iniciativa Convencional Constituyente que regula la nacionalidad y la ciudadanía,Boletín 485-2,Nacionalidad y ciudadanía,Comisión sobre Principios Constitucionales
466_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/482-3-Iniciativa-Convencional-Constituyente-de-la-cc-Francisca-Arauna-sobre-Derechos-de-Mujeres-rurales-2101-31-01.pdf,Iniciativa Convencional Constituyente que dispone el deber estatal de protección integral en favor de las mujeres y niñas rurales y campesinas,Boletín 482-3,Protección integral mujeres y niñas rurales campesinas,Comisión sobre Forma de Estado
468_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/480-3-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldana-sobre-chilenos-en-el-exterior-2039-31-01.pdf,Iniciativa Convencional Constituyente que establece el estatuto de derechos de personas chilenas en el extranjero y crea la Región Exterior,Boletín 480-3,Derechos de personas chilenas en el extranjero,"Comisiones de Forma de Estado, Sistema Político, Principios Constitucionales y de Derechos Fundamentales "
470_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/478-4-Iniciativa-Convencional-Constituyente-de-la-cc-Barbara-Rebolledo-Derecho-al-cuidado-2029-31-01.pdf, Iniciativa Convencional Constituyente que consagra el derecho al cuidado.,Boletín 478-4,Derecho al cuidado,Comisión de Derechos Fundamentales
461_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/488-2-Iniciativa-Convencional-Constituyente-de-la-cc-Margarita-Vargas-sobre-0924-01-02.pdf,"Iniciativa Convencional Constituyente que concede la opción de adicionar la identidad tribal o indígena en su caso, a la nacionalidad chilena",Boletín 488-2,Identidad tribal o indígena y nacionalidad,Comisión sobre Principios Constitucionales
463_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/486-4-Iniciativa-Convencional-Constituyente-de-la-cc-Alondra-Carrillo-sobre-Autonomia-y-Determinacion-0906-01-02.pdf,Iniciativa Convencional Constituyente que consagra el derecho de toda persona a la autonomía y libre determinación,Boletín 486-4,Derecho a autonomía y libre determinación,Comisión de Derechos Fundamentales
465_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/483-7-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Abarca-sobre-Proteccion-del-Patrimonio-2106-31-01.pdf,"Iniciativa Convencional Constituyente sobre protección del patrimonio natural y cultural, material e inmaterial, en particular los que tienen la categoría de Patrimonio de la Humanidad",Boletín 483-7,Protección patrimonio natural y cultural,Comisión sobre Sistemas de Conocimientos
467_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/481-1-Iniciativa-Convencional-Constituyente-del-cc-Roberto-Vega-sobre-Drogodependencia-2057-31-01.pdf,"Iniciativa Convencional Constituyente que establece como causal de inhabilidad para el ingreso o permanencia en la Administración Pública, y para postular a cargos de elección popular, la dependencia de drogas o sustancias ilegales",Boletín 481-1,Inhabilidad por dependencia a drogas o sustancias ilegales,Comisión sobre Sistema Político
469_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/479-1-Iniciativa-Convencional-Constituyente-del-cc-Roberto-Vega-Justificacion-de-Pagos-2032-31-01.pdf,Iniciativa Convencional Constituyente que dispone la prohibición de todo pago o desembolso de recursos públicos sin respaldo legal o presupuestario.,Boletín 479-1,Recursos públicos,Comisión sobre Sistema Político
472_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/476-5-Iniciativa-Convencional-Constituyente-del-cc-Bernardo-Fontaine-sobre-Libre-Competencia-2013-31-01.pdf,Iniciativa Convencional Constituyente que promueve la libre competencia en la actividad económica,Boletín 476-5,Libre competencia,Comisión sobre Medio Ambiente
474_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/473-4-Iniciativa-Convencional-Constituyente-del-cc-Miguel-Angel-Botto-sobre-Neuroderechos-2005-31-01.pdf,Iniciativa Convencional Constituyente que garantiza la integridad física y psíquica y la protección de los derechos de las personas en el uso de neurotecnologías,Boletín 473-4,Neurotecnologías,Comisión de Derechos Fundamentales
476_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/471-3-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Mena-sobre-Ruralidad-2000-31-01.pdf,Iniciativa Convencional Constituyente que define el concepto de ruralidad y exige del Estado promover el desarrollo integral y armónico de las zonas rurales,Boletín 471-3,Ruralidad y desarrollo integral,Comisión sobre Forma de Estado
478_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/469-3-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Mena-sobre-Modernizacion-del-Estado-1952-31-01.pdf,Iniciativa Convencional Constituyente que dispone la modernización de la administración del Estado,Boletín 469-3,Administración del Estado,Comisión sobre Forma de Estado
480_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/467-6-Iniciativa-Convencional-Constituyente-del-cc-Daniel-Bravo-sobre-Reforma-y-Reemplazo-1945-31-01.pdf,Iniciativa Convencional Constituyente que regula el procedimiento de reforma constitucional y el de reemplazo de la Constitución,Boletín 467-6,Reforma Constitucional,Comisión sobre Sistemas de Justicia
471_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/477-3-Iniciativa-Convencional-Constituyente-de-la-cc-Miguel-Angel-Botto-sobre-Titularidad-Sindical-2025-31-01.pdf,Iniciativa Convencional Constituyente que establece el estatuto de la Administración Pública y reconoce la titularidad sindical de las asociaciones o gremios de funcionarios públicos”.,Boletín 477-3,Administración pública  y asociaciones de funcionarios,Comisión sobre Forma de Estado
473_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/475-4-Iniciativa-Convencional-Constituyente-de-la-cc-Janis-Meneses-sobre-Derechos-de-las-Personas-Mayores-2011-31-01.pdf,Iniciativa Convencional Constituyente que establece el estatuto de derechos de las personas mayores,Boletín 475-4,Derechos personas mayores,Comisión de Derechos Fundamentales
475_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/472-6-Iniciativa-Convencional-Constituyente-del-cc-Daniel-Bravo-sobre-Corte-Constitucional-2003-31-01.pdf,"Iniciativa Convencional Constituyente que crea la Corte Constitucional, su orgánica, procedimientos y facultades",Boletín 472-6,Corte Constitucional,Comisión sobre Sistemas de Justicia
477_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/470-3-Iniciativa-Convencional-Constituyente-del-cc-Jaime-Bassa-sobre-Reconocimiento-del-P.-Fernandeciano-1956-31-01.pdf,Iniciativa Convencional Constituyente que crea el territorio especial del Archipiélago de Juan Fernández e Islas desventuradas y otorga reconocimiento al pueblo tribal fernandeciano,Boletín 470-3,Crea territorio especial,Comisión sobre Forma de Estado
479_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/468-4-Iniciativa-Convencional-Constituyente-del-cc-Marcos-Barraza-sobre-Personas-Mayores-1950-31-01.pdf,Iniciativa Convencional Constituyente sobre reconocimiento y protección de los derechos de las personas mayores,Boletín 468-4,Derechos personas mayores,Comisión de Derechos Fundamentales
482_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/465-6-Iniciativa-Convencional-Constituyente-de-la-cc-Adriana-Cancino-sobre-Justicia-Electoral-1925-31-01.pdf,"Iniciativa Convencional Constituyente que regula la justicia electoral, sus órganos y procedimientos",Boletín 465-6,Justicia Electoral,Comisión sobre Sistemas de Justicia
484_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/463-4-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Participacion-Ciudadana-1923-31-01.pdf,Iniciativa Convencional Constituyente que dispone exigencias para el pleno ejercicio de derechos civiles y políticos de las personas pertenecientes a los grupos históricamente excluidos,Boletín 463-4,Derechos grupos históricamente excluidos,Comisión de Derechos Fundamentales
486_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/461-4-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Magdalena-Rivera-sobre-Prision-Politica-1915-31-01.pdf,Iniciativa Convencional Constituyente que excluye del ordenamiento jurídico penal la figura de prisión política y aplica amnistía respecto de los delitos asociados,Boletín 461-4,Prisión política y amnistía,Comisión de Derechos Fundamentales
488_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/459-7-Iniciativa-Convencional-Constituyente-del-cc-Francisco-Caamano-sobre-Acceso-a-la-Conectividad-Digital-1903-31-01.pdf,Iniciativa Convencional Constituyente que establece la institucionalidad responsable de proporcionar el acceso y conectividad digital,Boletín 459-7,Acceso y conectividad digital,Comisión sobre Sistemas de Conocimientos
490_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/457-6-Iniciativa-Convencional-Constituyente-de-la-cc-Manuela-Royo-sobre-Justicia-Ambiental.pdf,Iniciativa Convencional Constituyente que establece una jurisdicción ambiental especializada y concede acción constitucional de tutela ambiental,Boletín 457-6,Jurisdicción ambiental,Comisión sobre Sistemas de Justicia
481_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/466-6-Iniciativa-Convencional-Constituyente-de-la-cc-Adriana-Cancino-sobre-Defensoria-de-los-DDHH-1933-31-01.pdf,Iniciativa Convencional Constituyente que crea la Defensoría de los Derechos Humanos,Boletín 466-6,Defensoría de Derechos Humanos, Comisión sobre Sistemas de Justicia
483_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/464-4-Iniciativa-Convencional-Constituyente-del-cc-Gaspar-Dominguez-sobre-Neuroderechos-1925-31-01.pdf,Iniciativa Convencional Constituyente que introduce el concepto de neuroderechos que otorga a la persona el derecho a la integridad cerebral y a la protección de la información proveniente de su actividad neuronal,Boletín 464-4,Neuroderechos,Comisión de Derechos Fundamentales
485_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/462-1-Iniciativa-Convencional-Constituyente-del-cc-Marcos-Barraza-sobre-Relacion-con-naciones-preexistentes-1918-31-01.pdf,"Iniciativa Convencional Constituyente sobre reconocimiento estatal a los contactos, relaciones y cooperación entre pueblos y naciones preexistentes al Estado y a su relación con la naturaleza",Boletín 462-1,Pueblos y naciones preexistentes y relación con la naturaleza,Comisión sobre Sistema Político
487_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/460-6-Iniciativa-Convencional-Constituyente-del-cc-Manuel-Woldarsky-sobre-Amnistia-1908-31-01.pdf,Iniciativa Convencional Constituyente que incorporar norma transitoria que concede amnistía por razones humanitarias en las condiciones que indica,Boletín 460-6,Amnistía por razones humanitarias,Comisión sobre Sistemas de Justicia
489_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/458-4-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-Derecho-a-la-Seguridad-Informatica-1857-31-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho de toda persona a la seguridad informática,Boletín 458-4,Derecho a seguridad informática,Comisión de Derechos Fundamentales
492_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/455-5-Iniciativa-Convencional-Constituyente-de-la-cc-Bessy-Gallardo-sobre-Derecho-de-Propiedad-1529-31-01.pdf,Iniciativa Convencional Constituyente que consagra el derecho de propiedad en todas sus formas y le asigna una función social y ecológica como limitación a su ejercicio,Boletín 454-5,Derecho de propiedad,Comisión sobre Medio Ambiente
494_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/453-2-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Baradit-sobre-Referendum-Revocatorio-1525-31-01.pdf,"Iniciativa Convencional Constituyente que establece el mandato revocatorio del Presidente de la República, Gobernador Regional y alcaldes",Boletín 453-2,Mandato Revocatorio,Comisión sobre Principios Constitucionales
496_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/451-4-Iniciativa-Convencional-Constituyente-de-la-cc-Carolina-Videla-sobre-Tortura-y-desaparicion-1409-31-01.pdf,"Iniciativa Convencional Constituyente que proscribe la práctica de la desaparición forzada, tortura y otros tratos, impone deberes de prevención e investigación en protección de los derechos humanos y otras materias",Boletín 451-4,Desaparición forzada y tortura,Comisión de Derechos Fundamentales
498_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/449-5-Iniciativa-Convencional-Constituyente-del-cc-Marcos-Barraza-sobre-Pp.-Planificacion-Social-1401-31-01.pdf,"Iniciativa Convencional Constituyente que incorpora el principio de planificación social prospectiva como elemento central de la planificación estatal económica, social y ambiental",Boletín 449-5,Planificación social,Comisión sobre Medio Ambiente
500_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/447-Iniciativa-Convencional-Constituyente-del-cc-Wilfredo-Bacian-sobre-Estatuto-de-las-Ues.-Estatales-1501-28-01.pdf,Iniciativa Convencional Constituyente que crea una estatuto constitucional de las universidades estatales regionales y zonas extremas,Boletín 447-7,Universidades estatales regionales,Comisión sobre Sistemas de Conocimientos
491_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/456-4-Iniciativa-Convencional-Constituyente-del-cc-Benito-Baranda-sobre-Derechos-de-las-personas-mayores-1729-31-01.pdf,Iniciativa Convencional Constituyente que establece un estatuto constitucional de protección de los derechos de las personas mayores,Boletín 456-4,Derechos de personas mayores,Comisión de Derechos Fundamentales
493_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/454-5-Iniciativa-Convencional-Constituyente-del-cc-Marcos-Barraza-sobre-Economia-Social-1529-31-01.pdf,Iniciativa Convencional Constituyente que consagra el reconocimiento de la labor social y solidaria de la economía,Boletín 454-5,Labor social y solidaria de la economía,Comisión sobre Medio Ambiente
495_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/452-4-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Magdalena-Rivera-sobre-Prision-Politica-1520-31-01.pdf,Iniciativa Convencional Constituyente que dispone amnistía a los presos políticos que indica,Boletín 452-4,Amnistía,Comisión de Derechos Fundamentales
497_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/450-5-Iniciativa-Convencional-Constituyente-de-la-cc-Bessy-Gallardo-sobre-Pp.-Iniciativa-Economica-del-E.-1415-31-01.pdf,Iniciativa Convencional Constituyente que establece modalidades y condiciones de desarrollo de actividad económica por parte del Estado,Boletín 450-5,Desarrollo actividad económica,Comisión sobre Medio Ambiente
499_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/448-4-Iniciativa-Convencional-Constituyente-del-cc-Marcos-Barraza-sobre-Pp.-Igualdad-Sustantiva-1401-31-01.pdf,"Iniciativa Convencional Constituyente que exige la garantía de pleno ejercicio de los derechos económicos, sociales y culturales, en pro de la igualdad sustantiva",Boletín 448-4,"Derechos Económicos, sociales y culturales",Comisión de Derechos Fundamentales
