,doc_url,name,bulletin,topic,commission
34_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/720-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Magdalena-Rivera-sobre-Poderes-del-Estado.pdf,Iniciativa Convencional Constituyente sobre disolución de los Poderes del Estado y creación de la Asamblea Plurinacional de las y los Trabajadores y los Pueblos,Boletín 720-1,Disolución Poderes del Estado ,Comisión sobre Sistema Político
36_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/718-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Elisa-Quinteros-Personas-en-Situacion-de-Discapacidad-01-02.pdf,Iniciativa Convencional Constituyente sobre derechos de personas en situación de discapacidad,Boletín 718-4,Derechos de personas en situación de discapacidad ,Comisión de Derechos Fundamentales
38_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/716-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Salud-Ocupacional.pdf,Iniciativa Convencional Constituyente sobre Salud Ocupacional y Ergonomía,Boletín 716-4,Salud Ocupacional y Ergonomía ,Comisión de Derechos Fundamentales
40_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/714-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Empleo-Fiscal.pdf,Iniciativa Convencional Constituyente crea Órgano Autónomo de Empleo Fiscal,Boletín 714-6,Órgano Autónomo de Empleo Fiscal,Comisión sobre Sistemas de Justicia
31_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/723-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Trinidad-Castillo-sobre-Principios-Tributarios-01-02.pdf,Iniciativa Convencional Constituyente de Principios Tributarios y del Gasto Público,Boletín 723-5,Principios Tributarios y del Gasto Público ,Comisión sobre Medio Ambiente
33_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/721-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Trinidad-Castillo-sobre-Mineria-01-02.pdf,Iniciativa Convencional Constituyente de normas transitorias del Dominio Público Minero,Boletín 721-5,Dominio Público  Minero ,Comisión sobre Medio Ambiente
35_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/719-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Magdalena-Rivera-sobre-Igualdad-ante-la-Ley.pdf,Iniciativa Convencional Constituyente sobr derechos de las mujeres,Boletín 719-4,Derechos de las Mujeres ,Comisión de Derechos Fundamentales
37_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/717-Iniciativa-Convencional-Constituyente-de-la-cc-Manuela-Royo-sobre-Banco-Central.pdf,Iniciativa Convencional Constituyente sobre Banco Central,Boletín 717-6,Banco Central,Comisión sobre Sistemas de Justicia
39_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/715-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Empresas-Publicas.pdf,Iniciativa Convencional Constituyente sobre tratamiento de las Empresas Públicas,Boletín 715-5,Empresas Públicas ,Comisión sobre Medio Ambiente
42_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/712-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Administracion-Comunal.pdf,Iniciativa Convencional Constituyente sobre Ordenamiento de Administración Comunal,Boletín 712-3, Administración Comunal ,Comisión sobre Forma de Estado
